"timeseq_min","i","h","m","s","p"
1373864820,0,3,0,0,0
1373864880,0,5,1,0,0
1373864940,0,6,0,0,0
1373865000,0,5,0,0,0
1373865060,0,5,0,0,0
1373865120,0,4,0,0,0
1373865180,0,4,0,0,1
1373865240,0,4,0,0,0
1373865300,0,4,0,0,0
1373865360,0,3,0,0,0
1373865420,0,3,0,0,0
1373865480,0,2,0,0,0
1373865540,0,3,0,0,0
1373865600,0,3,1,0,0
1373865660,0,3,1,0,1
1373865720,0,2,1,0,0
1373865780,0,1,0,0,1
1373865840,0,1,0,0,0
1373865900,0,1,0,0,0
1373865960,0,1,0,0,0
1373866020,0,2,0,0,0
1373866080,0,2,0,0,0
1373866140,0,3,0,0,0
1373866200,0,2,2,0,0
1373866260,0,2,0,0,0
1373866320,0,2,0,1,0
1373866380,0,2,0,0,0
1373866440,0,2,0,0,0
1373866500,0,2,0,0,0
1373866560,0,2,0,0,0
1373866620,0,3,0,0,0
1373866680,0,3,0,0,0
1373866740,0,2,0,0,0
1373866800,0,1,0,0,0
1373866860,0,1,0,0,0
1373866920,0,1,0,0,0
1373866980,0,1,1,0,0
1373867040,0,1,2,0,0
1373867100,0,1,1,0,0
1373867160,0,1,0,0,0
1373867220,0,1,0,0,0
1373867280,0,1,0,0,0
1373867340,0,1,0,0,0
1373867400,0,1,0,0,0
1373867460,0,1,0,0,0
1373867520,1,1,0,1,0
1373867580,1,1,1,0,0
1373867640,1,1,1,0,0
1373867700,1,1,0,0,0
1373867760,1,1,0,0,0
1373867820,1,1,0,0,0
1373867880,1,2,0,0,0
1373867940,1,2,0,0,0
1373868000,1,3,0,0,0
1373868060,1,3,1,0,0
1373868120,1,4,0,1,0
1373868180,1,4,0,0,0
1373868240,1,4,0,0,0
1373868300,1,2,0,0,0
1373868360,1,2,0,0,0
1373868420,1,2,0,0,0
1373868480,1,2,0,0,0
1373868540,1,2,0,0,1
1373868600,1,3,0,0,0
1373868660,1,3,0,0,0
1373868720,1,3,0,0,0
1373868780,1,3,0,0,0
1373868840,1,3,0,1,1
1373868900,1,3,1,0,1